Ticker,Last,Change %,Change,Rating,Volume,Market Capitalization,Price to Earnings Ratio (TTM),Basic EPS (TTM),Number of Employees,Sector
ASIX,19.62,1.86915888,0.36,Buy,41052,549954486,31.40900196,0.6153,1520,Process Industries
ASO,19.36,-3.1031031,-0.62,Buy,709506,1742980952,,,21000,Retail Trade
ASPN,17.02,-3.5694051,-0.63,Buy,69220,457291658,,-0.6328,304,Process Industries
ASTE,58.115,1.35158702,0.775,Neutral,31834,1313939470,99.94770786,0.5838,3866,Producer Manufacturing
ATEC,14.135,-2.38259669,-0.345,Buy,560511,1109325869,,-1.0998,227,Health Technology
ATEN,10.19,-2.20729367,-0.23,Buy,1037156,780892530,83.49358974,0.1282,810,Technology Services
ATEX,41,1.58572844,0.64,Buy,150589,718153330,,-3.0161,59,Communications
ATGE,33.32,0.15028554,0.05,Buy,168517,1734643620,8.51635693,3.9335,4299,Consumer Services
ATHA,34.325,1.52321798,0.515,Buy,246070,1111643544,,,15,Health Technology
ATHX,1.88,-8.73786408,-0.18,Sell,3282075,371676000,,-0.3694,83,Health Technology
ATKR,40.63,0.59420649,0.24,Buy,429467,1932361414,13.000515,3.1481,3700,Producer Manufacturing
ATLC,27.2225,-3.63716814,-1.0275,Buy,42751,434525545,9.70523567,3.8949,319,Finance
ATNI,44.01,0.98669114,0.43,Sell,20413,699692985,,-0.209,1700,Communications
ATNX,11.535,-2.65822785,-0.315,Strong Sell,374262,1078067760,,-1.4505,574,Health Technology
ATRA,22.425,-0.51020408,-0.115,Sell,257439,1863366750,,-4.6176,393,Health Technology
ATRI,633.725,-1.31660905,-8.455,Buy,4041,1159051339,35.17133728,17.7986,616,Health Technology
ATRO,12.99,8.70292887,1.04,Buy,271636,400100184,,-4.2095,2800,Electronic Technology
ATRS,3.745,-0.13333333,-0.005,Buy,516284,624186640,67.56756757,0.0576,178,Health Technology
ATSG,31.23,0.64453754,0.2,Buy,65027,1860989454,,-0.222,4380,Transportation
AUDC,28.8,1.47991543,0.42,Buy,884809,942846918,94.47403462,0.3292,698,Electronic Technology
AUPH,13.585,0.55514434,0.075,Strong Sell,1327924,1721324800,,-1.4697361,62,Health Technology
AUTL,8.67,-2.58426966,-0.23,Strong Sell,90785,465460000,,-2.8685,292,Health Technology
AVD,15.57,0.97276265,0.15,Buy,17334,471577932,42.94068505,0.363,671,Process Industries
AVDL,7.06,0.42674253,0.03,Buy,277081,409448000,21.63076923,,50,Health Technology
AVID,13.82,-1.9858156,-0.28,Buy,217574,610955942,32.28761163,0.4452,1429,Technology Services
AVO,14.4,1.98300283,0.28,Buy,75078,998652960,,,2300,Process Industries
AVRO,15.08,2.23728814,0.33,Buy,103937,621348991,,-3.2956,,Health Technology
AVXL,5.801,-3.95695364,-0.239,Buy,932414,349165671,,-0.4278,16,Health Technology
AVYA,19.27,-1.2807377,-0.25,Buy,359668,1606965767,,-7.25,8266,Electronic Technology
AWH,6.29,-4.11585366,-0.27,Buy,442682,648455780,,-0.1535,53,Health Technology
AXDX,7.65,-0.1305483,-0.01,Sell,158866,436277205,,-1.457,275,Health Technology
AXGN,17.78,0.62252405,0.11,Buy,163288,714850035,,-0.625,394,Health Technology
AXL,8.36,2.7027027,0.22,Buy,1554288,948661375,,-9.3793,20000,Producer Manufacturing
AXNX,47.415,-3.13585291,-1.535,Buy,287588,1886965560,,-1.9625,302,Health Technology
AXTI,10.6,4.84668645,0.49,Buy,1465331,436954000,,-0.0269,731,Electronic Technology
AXU,2.87,2.13523132,0.06,Buy,627071,394729920,,-0.17069062,115,Non-Energy Minerals
AZRE,38.055,4.46060939,1.625,Strong Buy,174357,1816420239,,-0.6424,605,Utilities
AZZ,47.32,2.11480363,0.98,Buy,44090,1233935248,80.57729091,0.5764,4343,Producer Manufacturing
BAK,8.96,-0.11148272,-0.01,Buy,39383,1542060000,,-5.6534,7500,Process Industries
BALY,49.61,4.48609941,2.13,Buy,301166,1518319302,,-0.4374,4831,Consumer Services
BANC,14.82,1.16040956,0.17,Buy,54721,743054348,,-0.1799,660,Finance
BANF,58.07,3.84477825,2.15,Buy,53077,1897534338,18.64062135,3.0529,1948,Finance
BANR,45.21,2.400906,1.06,Buy,74334,1587978452,14.11129223,3.1399,2198,Finance
BATRA,25.39,0.91414944,0.23,Sell,23780,1300584418,,-1.1733,,Consumer Services
BATRK,25.24,1.04083267,0.26,Buy,86051,1292900777,,-1.1733,,Consumer Services
BBAR,3.2,1.26582278,0.04,Sell,120618,645335000,2.56223141,1.2333,6321,Finance
BBDC,9.23,1.65198238,0.15,Buy,433517,443167032,,-0.0449,,Finance
BBSI,70.32,0.12815036,0.09,Buy,12748,537689222,14.13761172,5.0541,127085,Commercial Services
BCAB,32.42,-2.93413174,-0.98,,143692,650928874,,,,Health Technology
BCC,49.27,0.42804729,0.21,Buy,102017,1931443124,11.83680363,4.1653,6010,Non-Energy Minerals
BCEI,20.665,5.75742068,1.125,Sell,703475,432938832,10.05971993,1.9494,125,Energy Minerals
BCEL,15.89,-2.15517241,-0.35,Buy,97564,581434777,,-2.8183,113,Health Technology
BCOR,14.485,0.94076655,0.135,Strong Buy,232167,696633650,,-5.7432,690,Technology Services
BCOV,17.235,-2.46179966,-0.435,Buy,99764,686049516,,-0.3739,610,Technology Services
BCRX,7.515,-0.98814229,-0.075,Buy,4589494,1326893490,,-0.7641,140,Health Technology
BCSF,12.46,0.72756669,0.09,Buy,212751,804446258,,-0.3846,,Miscellaneous
BCYC,19.72,-1.00401606,-0.2,Buy,19633,417042000,,-2.0817,72,Health Technology
BDC,41.35,1.39774399,0.57,Buy,53877,1846854000,,-4.6935,9000,Producer Manufacturing
BDGE,24.205,2.95618886,0.695,Buy,33853,478481136,9.92401857,2.3737,496,Finance
BDJ,8.375,0.2994012,0.025,Buy,619742,1565980000,,,,Miscellaneous
BDSI,4.37,2.82352941,0.12,Buy,312881,441855070,30.64167267,0.1484,178,Health Technology
BDSX,18.9,3.61842105,0.66,Buy,190928,506673417,,,,Health Services
BDTX,33.67,-0.26658768,-0.09,Buy,92772,1211975219,,-1.5175,32,Health Technology
BEEM,51.1,1.93496908,0.97,Buy,422258,358783366,,-0.7722,35,Utilities
BEST,2.2375,-0.99557522,-0.0225,Strong Sell,3074540,566466000,,-0.4946,8423,Transportation
BFC,68.84,0.90882439,0.62,Buy,3237,532138019,14.88122505,4.6085,284,Finance
BFS,32.24,0.46743534,0.15,Buy,23162,750906000,25.76061652,1.2462,67,Finance
BFST,20.17,0.69895157,0.14,Buy,9427,416857424,14.99027092,1.3511,355,Finance
BFZ,14.06,0,0,Buy,34715,445374000,,,,Miscellaneous
BGCP,4.06,-1.69491525,-0.07,Sell,1269447,1473946155,34.76430976,0.125,5200,Finance
BGS,30.73,-0.87096774,-0.27,Buy,576733,1974491617,15.36022198,2.0281,2899,Consumer Non-Durables
BH,118.75,-1.44410325,-1.74,Buy,1767,368550283,,-19.5662,10906,Consumer Services
BHB,22.2,2.30414747,0.5,Sell,8192,331414920,11.60179641,1.8738,,Finance
BHE,26.7,2.29885057,0.6,Buy,53241,973504405,,-0.0143,10600,Electronic Technology
BHLB,17.52,6.31067961,1.04,Buy,96615,890576640,,-10.4089,1550,Finance
BIG,45.3,2.58152174,1.14,Sell,843166,1683320733,2.81273885,15.9669,34000,Retail Trade
BJRI,39.195,-0.14012739,-0.055,Buy,189635,872527734,,-1.145,22725,Consumer Services
BKD,4.345,2.47641509,0.105,Buy,788722,796807825,23.46430548,0.1844,38400,Health Services
BKE,29.91,3.17350811,0.92,Buy,220949,1480254692,12.73222364,2.2895,7000,Retail Trade
BLBD,18.66,0.86486486,0.16,Buy,126867,504853764,41.2670087,0.45,1736,Producer Manufacturing
BLFS,44.905,-1.84699454,-0.845,Buy,115987,1461330576,,-0.271,158,Health Technology
BLMN,19.005,1.5224359,0.285,Strong Buy,625945,1664791245,,-1.3709,94000,Consumer Services
BLNK,44.72,-7.77479893,-3.77,Buy,12492061,1455359877,,-0.4521,67,Consumer Services
BLX,15.33,0.72273325,0.11,Buy,24547,607108088,8.62322946,1.765,,Finance
BMA,15.9028,3.8719791,0.5928,Sell,138154,961741000,1.89679737,8.0715,8768,Finance
BMRC,37.02,2.35001382,0.85,Buy,5244,504049512,15.92200752,2.3072,290,Finance
BMTC,30.05,2.98149417,0.87,Sell,27903,599743910,17.54871301,1.672,661,Finance
BNFT,13.4,-1.83150183,-0.25,Buy,163925,433751511,,-1.0271,1560,Technology Services
BOMN,25.73,-2.46398787,-0.65,Buy,45468,702019305,,-0.6138,138,Commercial Services
BOOM,44.35,1.76686553,0.77,Buy,44957,655213595,,-0.4216,741,Producer Manufacturing
BOOT,41,0.73710074,0.3,Buy,235731,1185852252,33.34425692,1.2474,3200,Retail Trade
BPFH,8.3,3.75,0.3,Buy,229708,681890634,15.84472173,0.5066,779,Finance
BPMP,10.6,-0.65604499,-0.07,Strong Sell,139466,1109604686,6.41958968,1.6621,,Industrial Services
BPYU,15.145,1.57612341,0.235,Sell,267370,714335000,,-0.2105,,Finance
BQ,7.446,19.32692308,1.206,Buy,1164212,464377000,,-0.5073,324,Consumer Non-Durables
BRBR,24.38,0.41186161,0.1,Buy,191304,962254983,40.77930803,0.5963,390,Health Technology
BRKL,11.77,2.79475983,0.32,Buy,85477,930536200,21.03232917,0.5458,811,Finance
BRMK,10.22,0.09794319,0.01,Buy,284767,1350130000,21.28857381,0.4799,41,Finance
BROG,10.9,0.92592593,0.1,Strong Buy,1293,1194509200,,,9,Finance
BRP,29.105,-4.47981621,-1.365,Sell,254197,1011181392,,-0.7155,1700,Finance
BRY,3.99,9.76616231,0.355,Buy,335348,319717200,,-2.5847,355,Energy Minerals
BSIG,19.05,0.847009,0.16,Buy,178430,1520217259,10.11566884,1.8724,936,Finance
BSM,7,2.33918129,0.16,Sell,208781,1445175510,12.78982797,0.5352,115,Energy Minerals
BSRR,23.81,1.06112054,0.25,Buy,3460,365697790,10.11158798,2.3471,513,Finance
BTAI,54.06,0.70789866,0.38,Buy,220195,1321010964,,-3.373,24,Health Technology
BUSE,21.29,2.35576923,0.49,Buy,80865,1160777638,11.36115359,1.8384,1531,Finance
BV,14.79,-0.13504389,-0.02,Buy,68323,1552904800,,-0.4016,19700,Commercial Services
BWB,12.3,1.90555095,0.23,Buy,24750,347582093,11.51058554,1.0708,160,Finance
BWMX,31.6,-1.68014935,-0.54,Strong Buy,9504,1097608860,,,674,Retail Trade
BXG,6.79,5.59875583,0.36,Buy,36773,492168397,40.36409291,0.1593,5873,Finance
BY,15.57,0.4516129,0.07,Neutral,45183,600751323,14.76612365,1.0606,1001,Finance
BYSI,11.45,0.52677788,0.06,Sell,178443,448169030,,-2.0359,61,Health Technology
BZH,15.85,-2.03955501,-0.33,Buy,259512,495060192,9.26583438,1.7607,1063,Consumer Durables
CAAP,3.93,2.34375,0.09,Buy,128147,627286240,,-1.5737,6300,Transportation
CABA,12.65,-1.40296181,-0.18,Sell,96741,304302075,,-1.2243,22,Health Technology
CAC,35.31,1.55306299,0.54,Sell,12392,526705146,9.34250477,3.7391,639,Finance
CAI,31.26,-3.24976787,-1.05,Sell,81564,554627424,46.03875748,0.7129,218,Finance
CAKE,37.48,1.21523089,0.45,Buy,430035,1709859591,,-4.3584,46250,Consumer Services
CAL,13.49,2.42976462,0.32,Buy,151612,511362732,,-9.3862,11400,Consumer Non-Durables
CALA,5.3,3.11284047,0.16,Buy,600205,375372284,,-1.3889,93,Health Technology
CALM,37.75,1.64243403,0.61,Sell,125095,1842388885,40.40469974,0.9226,3636,Consumer Non-Durables
CALT,32.7018,-2.03175554,-0.6782,Sell,2706,833525000,,-1.3993,16,Health Technology
CALX,31.965,-2.69406393,-0.885,Buy,500976,1979821445,241.36664217,0.1531,763,Electronic Technology
CAMP,9.47,1.71858217,0.16,Sell,146489,331778609,,-3.0311,1090,Electronic Technology
CAMT,20.91,2.95420975,0.6,Strong Buy,247945,904073124,42.97503174,0.4809,322,Electronic Technology
CAN,3.965,-4.22705314,-0.175,Buy,3337745,549792000,,-0.8898,333,Electronic Technology
CANG,7.38,1.93370166,0.14,Buy,119091,814385000,3.97802198,1.826,3189,Technology Services
CAP.U,10.22,0,0,Buy,160922,440738000,,,,Finance
CAPL,17.2,0,0,Buy,15401,651329600,6.10730391,2.8165,,Distribution Services
CARA,15.72,1.68175938,0.26,Strong Buy,235265,783734353,,-2.1195,67,Health Technology
CARS,11.43,-2.47440273,-0.29,Buy,388741,771571990,,-12.3737,1500,Technology Services
CASA,6.51,-2.25225225,-0.15,Buy,170101,543742542,,-0.286,997,Electronic Technology
CASH,36.66,2.23089794,0.8,Buy,144448,1227493890,12.27199617,2.9236,1015,Finance
CASI,2.96,-3.58306189,-0.11,Buy,548405,366874240,,-0.4473,125,Health Technology
CASS,37.96,0,0,Strong Sell,41670,548472463,22.10704094,1.744,1122,Technology Services
CATC,71,0.52385672,0.37,Buy,4102,491908590,16.332071,4.4158,321,Finance
CATM,35.17,-0.02842524,-0.01,Buy,376158,1564713300,72.09016393,0.4971,1987,Commercial Services
CBAT,6.71,3.86996904,0.25,Buy,12568872,509784198,,-0.1461,374,Producer Manufacturing
CBAY,6.6,0.30395137,0.02,Sell,898603,454654860,,-0.9408,60,Health Technology
CBB,15.275,0.36136662,0.055,Buy,448604,774146165,,-1.6036,4400,Communications
CBMG,18.13,-0.22014309,-0.04,Sell,79757,352441248,,-2.8286,217,Health Technology
CBTX,25.74,0.74363992,0.19,Buy,14027,639497430,22.17496962,1.1558,500,Finance
CBZ,26.17,1.39480821,0.36,Strong Buy,77865,1427089355,18.57235375,1.4197,4800,Commercial Services
CCAC,10.65,1.42857143,0.15,Buy,421156,367252500,,,,Finance
CCAP,14.995,0.63758389,0.095,Buy,7229,422229326,15.09997939,0.9702,,Finance
CCBG,24.95,2.54829429,0.62,Buy,5227,418199425,12.63896104,1.9308,815,Finance
CCCC,37.14,4.41383188,1.57,Buy,291014,1596394450,,,,Health Technology
CCF,108.48,-0.19321005,-0.21,Sell,6263,1024644586,30.28588943,3.6118,619,Process Industries
CCNE,20.83,0.19240019,0.04,Buy,11719,350631390,9.18205106,2.2642,559,Finance
CCO,1.644,2.11180124,0.034,Strong Buy,2345591,766332640,,-1.1284,5900,Commercial Services
CCRN,8.965,2.1070615,0.185,Buy,144757,336755881,,-0.5187,1700,Commercial Services
CCS,46.21,-1.34500427,-0.63,Strong Buy,91154,1541131226,9.30990619,5.0794,1460,Consumer Durables
CCX,10.31,0.38948393,0.04,Buy,871925,889237500,253.58024691,0.0405,,Finance
CCX.U,11.06,1.09689214,0.12,Buy,2975,943575000,,,,Finance
