Ticker,Last,Change %,Change,Rating,Volume,Market Capitalization,Price to Earnings Ratio (TTM),Basic EPS (TTM),Number of Employees,Sector
RXN,39,1.9874477,0.76,Buy,283417,4693325600,30.32513878,1.309,6800,Producer Manufacturing
RXT,20.03,1.41772152,0.28,Buy,634002,4013891760,,-1.2045,,Technology Services
RYN,29.59,0.1014885,0.03,Buy,194856,4035470000,89.38615059,0.3316,353,Finance
SABR,11.42,2.88288288,0.32,Buy,2934452,3631143705,,-3.4188,9250,Technology Services
SAFE,73.59,0.53278689,0.39,Buy,40983,3894660000,64.42527724,1.1362,,Finance
SAFM,131.53,1.26260682,1.64,Sell,105233,2941935788,105.59304122,1.2301,17445,Consumer Non-Durables
SAGE,88.05,0.27331739,0.24,Buy,383286,4577331365,,-10.3551,675,Health Technology
SAIA,184.86,-0.59687046,-1.11,Buy,58340,4836804504,41.31656706,4.5794,10400,Transportation
SAIC,96.3275,0.27847179,0.2675,Buy,119105,5608601258,27.3177113,3.5512,24000,Technology Services
SAIL,56.765,-3.54290569,-2.085,Buy,1016487,5158829813,,-0.0068,1168,Technology Services
SANM,31.87,1.17460317,0.37,Buy,114793,2073640672,15.82675978,2.04,37000,Electronic Technology
SATS,21.4,3.43160947,0.71,Sell,842776,2098351624,,-0.9553,2300,Electronic Technology
SAVE,24.59,2.28785358,0.55,Buy,3263675,2403862963,,-2.1032,8938,Transportation
SBGI,31.22,10.78779276,3.04,Buy,931377,2310413576,,-38.554,11800,Consumer Services
SBNY,134.475,1.75166465,2.315,Buy,190482,7413690848,13.93828176,9.5115,1472,Finance
SBRA,17.36,-0.62965083,-0.11,Buy,640877,3615030000,25.29684332,0.6936,34,Finance
SBS,8.72,3.31753555,0.28,Neutral,2114510,5768820000,22.35169492,0.3776,13945,Utilities
SC,21.755,4.34052758,0.905,Sell,283491,6661635315,12.30088496,1.6956,5175,Finance
SCI,48.8,0.6185567,0.3,Buy,246318,8506152700,19.06896281,2.5772,24594,Consumer Services
SCL,116.31,0.13775291,0.16,Sell,22800,2618550012,22.7914917,5.16,2284,Process Industries
SDGR,85.305,2.27190984,1.895,Buy,504096,5927596468,,-0.3203,394,Technology Services
SEAS,30.99,2.48015873,0.75,Buy,204958,2429114687,,-3.7234,4300,Consumer Services
SEB,3125,0.21646757,6.75,Sell,591,3627437500,18.78712841,165.978,13100,Consumer Non-Durables
SEE,46.13,2.12530441,0.96,Strong Buy,462315,7152941183,14.91743725,3.0391,16500,Process Industries
SEER,65.4,2.70100503,1.72,Strong Buy,347796,3882571193,,,,Health Technology
SEIC,56.73,1.50295223,0.84,Buy,221865,8199287550,18.7462266,3.0356,3756,Finance
SEM,27.16,2.02854996,0.54,Strong Buy,81095,3662858340,16.80767774,1.5838,49900,Health Services
SF,50.74,0.8948101,0.45,Buy,165908,5230818000,13.64610751,3.9733,8300,Finance
