Ticker,Last,Change %,Change,Rating,Volume,Market Capitalization,Price to Earnings Ratio (TTM),Basic EPS (TTM),Number of Employees,Sector
BKI,88.3,-0.52945815,-0.47,Sell,347775,13862520120,62.62875688,1.4254,4900,Technology Services
BKNG,2101.72,2.38208903,48.9,Buy,175323,86075732428,61.82056911,33.6041,26400,Consumer Services
BKR,21.185,-0.02359604,-0.005,Buy,2760596,14542749485,,-16.12,68000,Industrial Services
BLK,705.13,1.67406852,11.61,Buy,442949,107318940480,22.99172189,30.4166,16200,Finance
BLL,91.91,-0.62709482,-0.58,Sell,464799,30064863920,59.48292495,1.5874,18300,Process Industries
BMO,75.64,1.02844931,0.77,Buy,246131,48848585070,13.22854798,5.66640417,43360,Finance
BMRN,88.5,0.16977929,0.15,Buy,817607,16065405000,20.23266998,4.7071,3001,Health Technology
BMY,61.125,-0.49650008,-0.305,Sell,3864160,138104621250,,-0.1019,30000,Health Technology
BNS,53.27,1.17758784,0.62,Buy,517953,64473640000,13.28078047,4.0722241,92001,Finance
BNTX,100.21,-0.34805091,-0.35,Sell,3013687,24213400000,,,1310,Health Technology
BP,21.185,3.44238281,0.705,Buy,10823722,68750900000,,-6.4397,70100,Energy Minerals
BR,148.015,-0.31317349,-0.465,Buy,290447,17113924380,36.76248483,4.1116,12000,Commercial Services
BRK.A,337915,0.63613269,2136,Buy,279,528563766427,14.88118241,22564,391500,Finance
BRK.B,224.52,1.18983234,2.64,Buy,2737927,526531670560,14.75001163,15.0427,391500,Finance
BRO,45.62,-0.15320639,-0.07,Sell,521099,12944568630,28.29277355,1.6252,10083,Finance
BSX,34.505,0.42200233,0.145,Sell,4208564,49401240000,13.16929209,2.6473,36000,Health Technology
BSY,39.05,0.48893464,0.19,Buy,137886,10605189511,,,,Technology Services
BTI,36.87,0.90311987,0.33,Buy,1357741,83529100000,10.48313059,3.496,59989,Consumer Non-Durables
BUD,70.54,1.27781766,0.89,Buy,1269625,114585000000,,-0.3342,171915,Consumer Non-Durables
BURL,250.3,1.79762486,4.42,Strong Buy,202475,16583209035,,-2.5376,47000,Retail Trade
BX,65.48,0.98704503,0.64,Buy,1010272,76947949682,60.18191944,1.0827,2905,Finance
BXP,92.37,-0.55980192,-0.52,Sell,516754,15956700000,14.52200422,6.4038,760,Finance
C,60.9283,2.81522106,1.6683,Buy,12317104,126801773800,11.61824099,5.1282,200000,Finance
CABO,2233.95,-0.51126065,-11.48,Buy,21756,13458811546,52.27692852,43.3651,2751,Consumer Services
CAG,36.455,1.29202556,0.465,Strong Buy,1005630,17813808870,17.68637279,2.0409,16500,Consumer Non-Durables
CAH,54.09,0.85772888,0.46,Sell,543435,15847668210,16.219077,3.3351,48000,Distribution Services
CAJ,19.575,-0.38167939,-0.075,Buy,251462,20549400000,36.10804851,0.5446,187041,Electronic Technology
CARR,38.33,0.78885091,0.3,Buy,1040494,33211445840,21.61900972,1.7754,52635,Producer Manufacturing
CAT,178.635,1.16377846,2.055,Buy,1050873,97025878800,29.33368773,6.0699,102300,Producer Manufacturing
CB,151.06,0.59266165,0.89,Buy,502412,68175075840,29.86615222,5.0582,33000,Finance
CBRE,63.05,0.7671408,0.48,Buy,434442,21158887200,19.74813786,3.2124,100000,Finance
CCC,30.28,-0.68875041,-0.21,Strong Buy,310040,18354437530,,-0.5923,4203,Commercial Services
CCEP,47.21,2.67507612,1.23,Buy,403424,21450165720,27.11564546,1.7061,25765,Consumer Non-Durables
CCI,153.25,-0.15636198,-0.24,Sell,1173893,66199899999.99999,96.12951713,1.6043,5100,Finance
CCK,97.18,-0.17462763,-0.17,Buy,224905,13076727705,25.43103448,3.8562,33000,Process Industries
CCL,20.9114,5.55981827,1.1014,Buy,26255476,19569557619,,-10.2795,,Consumer Services
CDAY,109.97,1.42962553,1.55,Buy,1062115,16253895910,1400.7751938,0.0814,5011,Commercial Services
CDNS,133.66,-0.52839175,-0.71,Buy,630345,37269365565,34.88951783,3.9378,8100,Technology Services
CDW,130.3,-0.34416826,-0.45,Sell,477041,18629906520,25.78285218,5.1518,9900,Technology Services
CE,130.19,-0.0153598,-0.02,Buy,298561,15223235850,27.01060012,4.8432,7714,Process Industries
CEO,93.36,0.72283957,0.67,Sell,349952,41383800000,7.06710279,13.116,18703,Energy Minerals
CERN,77.98,0.77539416,0.6,Strong Buy,389376,23886426900,30.25610948,2.5784,27400,Technology Services
CFG,35.405,3.40245327,1.165,Buy,1502526,15118384200,15.50935363,2.2149,5700,Finance
CFXA,155.06,1.46577673,2.24,Buy,1140,18102600000,,,15000,Producer Manufacturing
CG,31.44,1.48482892,0.46,Buy,355814,11124472300,,-0.5689,1775,Finance
CGC,27.045,4.58236659,1.185,Buy,7427256,10077727880,,-3.33617818,4434,Process Industries
CGNX,81.96,1.80101851,1.45,Buy,741535,14319906000,75.83121409,1.0833,2267,Electronic Technology
CHD,86.98,0.48521257,0.42,Buy,312562,21600243000,27.92528309,3.1677,4800,Consumer Non-Durables
CHGG,92.9,-1.05442539,-0.99,Buy,1209034,11963965680,,-0.1876,1401,Commercial Services
CHKP,135.37,1.46154999,1.95,Buy,689018,18995698000,22.73959061,5.9242,5152,Technology Services
CHL,28.2,-0.03544842,-0.01,Sell,1115683,115523000000,7.68183427,3.6928,456239,Communications
CHRW,94.35,-0.04237737,-0.04,Buy,580772,12825145640,28.11569165,3.378,15427,Transportation
CHT,38.33,-1.05833764,-0.41,Buy,70916,30052400000,27.30861413,1.4195,,Communications
CHTR,648.25,1.11527063,7.15,Sell,1253738,129654915000,50.23586015,12.9988,95100,Consumer Services
CHU,5.625,-1.31578947,-0.075,Sell,189616,17440900000,10.20225524,0.5587,256385,Communications
CHWY,102.895,-3.5570344,-3.795,Buy,3050854,42415949770,,-0.4325,12000,Retail Trade
CI,199.55,2.34907935,4.58,Sell,1057763,72018576450,13.67049733,14.3936,73700,Health Services
CINF,85.26,1.54835636,1.3,Strong Buy,655480,13714860280,17.33063617,4.9383,5148,Finance
CL,84.59,0.22511848,0.19,Sell,1517906,72482210640,26.95107932,3.1381,34300,Consumer Non-Durables
CLX,202.79,0.69516858,1.4,Neutral,389103,25551595500,22.3697072,9.1459,8800,Consumer Non-Durables
CM,87.2,1.05458338,0.91,Buy,1502108,38976521580,13.99386649,6.17452282,43853,Finance
CMCSA,49.965,-0.10995602,-0.055,Sell,7204971,228606082397,22.39233593,2.2601,190000,Consumer Services
CME,181.02,0.01104972,0.02,Buy,853745,64948495767,30.16767226,6.0143,4360,Finance
CMG,1407.71,-1.30337236,-18.59,Buy,115246,39402977672,170.64883167,8.5179,83000,Consumer Services
CMI,224.525,0.44063702,0.985,Buy,238598,33212770800,21.06582481,10.6602,61615,Producer Manufacturing
CMS,57.62,0.03472222,0.02,Sell,586706,16507155100,21.54882155,2.6875,8789,Utilities
CNA,38.48,1.39657444,0.53,Buy,150567,10447119555,17.95005203,2.121,5900,Finance
CNC,58.745,1.16239022,0.675,Sell,1821600,34057334520,16.1301075,3.6525,56600,Health Services
CNHI,12.755,3.69918699,0.455,Buy,2338677,17242970800,,-0.3949,63499,Producer Manufacturing
CNI,108.87,0,0,Buy,447225,77312372000,30.42197032,3.58764739,25975,Transportation
CNP,21.461,3.07877041,0.641,Sell,2206313,11702755080,,-1.9511,14262,Utilities
CNQ,23.96,3.9028621,0.9,Buy,1217646,28298197600,,-0.37177616,10180,Energy Minerals
COF,97.06,2.17917676,2.07,Strong Buy,1165955,44413248700,47.69053118,2.0117,51900,Finance
COO,356,0.93850123,3.31,Strong Buy,71842,17481651119,73.40062435,4.8549,12000,Health Technology
COP,40.2,2.99769408,1.17,Sell,4060154,42956166600,,-1.1224,10400,Energy Minerals
COST,362.43,0.11048808,0.4,Sell,1296679,160535751100,37.18200212,9.7697,273000,Retail Trade
COUP,355.24,-1.63643915,-5.91,Buy,579044,25619663952,,-2.1219,1693,Technology Services
CP,340.995,0.45810747,1.555,Buy,79106,45874918920,26.87286144,12.68021711,12694,Transportation
CPB,48.225,0.97361809,0.465,Sell,416251,14615581525,19.51458691,2.4636,14500,Consumer Non-Durables
CPRT,123.63,0.47951886,0.59,Buy,332421,29183677470,43.12502191,2.9092,7600,Commercial Services
CQP,33.52,-1.44075272,-0.49,Strong Sell,137383,16219510200,14.81594424,2.2955,1530,Industrial Services
CREE,105.135,1.6681172,1.725,Buy,664817,11589561900,,-3.1036,5130,Electronic Technology
CRH,42.02,0,0,Buy,110766,32977699999.999996,19.98858339,2.1199,80300,Non-Energy Minerals
CRL,251.93,-0.27313752,-0.69,Buy,149640,12542099164,42.10964978,6.1074,17100,Commercial Services
CRM,229.16,-0.86948999,-2.01,Sell,5285514,209562450000,60.3923925,3.9219,49000,Technology Services
CRSP,174.38,2.52822201,4.3,Buy,1824597,12435073891,,-3.2287,304,Health Technology
CRWD,224.65,-0.11116052,-0.25,Buy,3966391,49689201685,,-0.4757,2309,Technology Services
